risk_segment,order_count,canceled_count,actual_cancel_rate,avg_risk_score,avg_adr,avg_estimated_revenue,order_share
低风险,9029,441,0.0488426182301473,0.06764541205588209,92.12442684682689,275.14090149784033,0.5053167674054175
中风险,1802,526,0.29189789123196447,0.39534761854842804,111.9262319644839,347.32518914872367,0.10085068278486681
高风险,1396,701,0.5021489971346705,0.5956191201593587,106.33032234957021,348.9640973624642,0.07812849787329304
极高风险,5641,5008,0.8877858535720617,0.9226690497327741,98.74314837794716,319.34305281864914,0.31570405193642265
