model,config_id,epoch,loss,auc,val_loss,val_auc,hidden_units,dropout_rate,learning_rate,batch_size,epochs_planned,embedding_dim
MLP,4,10,0.3215630650520324,0.9337937831878662,0.3399578630924225,0.9346322417259216,"(128, 64)",0.3,0.0005,256,50,
MLP,1,5,0.3221884965896606,0.9334656596183776,0.3283514976501465,0.9342912435531616,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,2,5,0.3218299448490143,0.9334641695022584,0.3167959153652191,0.9363651275634766,"(128, 64)",0.3,0.001,512,40,8.0
MLP,3,11,0.3229779601097107,0.9330449104309082,0.330258697271347,0.9358264207839966,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,3,6,0.3231030404567718,0.9329379200935364,0.3225695192813873,0.9351966381072998,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,4,9,0.3249376714229584,0.932462513446808,0.3376930952072143,0.933936595916748,"(128, 64)",0.3,0.0005,256,50,
MLP,4,8,0.3257987797260284,0.9321140050888062,0.3380914628505707,0.93303245306015,"(128, 64)",0.3,0.0005,256,50,
MLP,3,10,0.3256465494632721,0.9320462942123412,0.3300927877426147,0.935559630393982,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,1,4,0.3258533775806427,0.9320200085639954,0.3202402889728546,0.9345313906669616,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,4,6,0.3256042301654815,0.931940257549286,0.313639223575592,0.935825765132904,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,3,9,0.327246606349945,0.9314258098602296,0.3345814347267151,0.9344728589057922,"(256, 128)",0.4,0.0005,512,50,
MLP,2,4,0.3272060453891754,0.9313564300537108,0.3379248380661011,0.9344225525856018,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,2,4,0.3276374936103821,0.93098121881485,0.3227277994155884,0.9345988035202026,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,3,5,0.3278769850730896,0.9309752583503724,0.3221139013767242,0.9341777563095092,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,4,0.3289138972759247,0.9306878447532654,0.3322733342647552,0.9326709508895874,"(128, 64)",0.2,0.001,512,40,
MLP,4,7,0.3311533033847809,0.9299898147583008,0.3422144949436188,0.9325210452079772,"(128, 64)",0.3,0.0005,256,50,
MLP,3,8,0.3314705193042755,0.9294573664665222,0.3382889926433563,0.93369859457016,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,4,5,0.3330482840538025,0.9286677837371826,0.319665253162384,0.9343286752700806,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,4,6,0.3359397351741791,0.927651047706604,0.3486073017120361,0.932061493396759,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,1,3,0.3365369439125061,0.927598476409912,0.3292454183101654,0.9316204190254213,"(128, 64)",0.2,0.001,512,40,4.0
MLP,3,7,0.3369954526424408,0.9269396066665648,0.3345049917697906,0.9332320094108582,"(256, 128)",0.4,0.0005,512,50,
MLP,1,3,0.3379790186882019,0.926897406578064,0.3362263441085815,0.9317164421081544,"(128, 64)",0.2,0.001,512,40,
MLP,2,3,0.3376746475696563,0.9268537759780884,0.344048261642456,0.9325227737426758,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,3,4,0.3377464115619659,0.9268380403518676,0.3292732238769531,0.932183802127838,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,2,3,0.3374561369419098,0.9267634749412536,0.3293048441410064,0.932345986366272,"(128, 64)",0.3,0.001,512,40,8.0
MLP,3,6,0.3416063487529754,0.925368070602417,0.3409415483474731,0.9320547580718994,"(256, 128)",0.4,0.0005,512,50,
MLP,4,5,0.3428456783294678,0.924868643283844,0.3586029708385467,0.931021213531494,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,4,4,0.3431529402732849,0.9246431589126588,0.3224441409111023,0.9320388436317444,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,3,5,0.3487935066223144,0.9219571352005004,0.345096081495285,0.9308100342750548,"(256, 128)",0.4,0.0005,512,50,
MLP,4,4,0.3494923412799835,0.9217280745506288,0.3670282661914825,0.9294345378875732,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,3,3,0.3515937626361847,0.9211294054985046,0.3436727523803711,0.929397463798523,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,2,2,0.3515344858169555,0.9209222793579102,0.3515335321426391,0.9293988347053528,"(256, 128)",0.3,0.001,512,40,
MLP,1,2,0.3535942733287811,0.9199891686439514,0.336625725030899,0.9290782809257508,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,2,2,0.3564054369926452,0.9187607765197754,0.3446472287178039,0.9277501702308656,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,4,3,0.3588171601295471,0.9181553721427916,0.3356138169765472,0.928548276424408,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,3,4,0.3592787683010101,0.9174975156784058,0.3490121960639953,0.9291785955429076,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,1,2,0.3606065809726715,0.9172777533531188,0.3560363948345184,0.9260902404785156,"(128, 64)",0.2,0.001,512,40,4.0
MLP,4,3,0.3635421097278595,0.91551411151886,0.3777289986610412,0.9271665215492249,"(128, 64)",0.3,0.0005,256,50,
MLP,3,3,0.373471200466156,0.911436915397644,0.3572931289672851,0.9271525144577026,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,3,2,0.3785950839519501,0.9101202487945556,0.3656812310218811,0.9244915843009948,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,4,2,0.3869377076625824,0.9051517248153688,0.3941975831985473,0.923512637615204,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,4,2,0.3920090496540069,0.9043936729431152,0.3536242544651031,0.9227315783500672,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,3,2,0.4016649425029754,0.8998634815216064,0.3685544431209564,0.9230339527130128,"(256, 128)",0.4,0.0005,512,50,
MLP,2,1,0.4212197363376617,0.8886150121688843,0.3922115862369537,0.9224949479103088,"(256, 128)",0.3,0.001,512,40,
MLP,1,1,0.4179500043392181,0.8884628415107727,0.3645457923412323,0.9222357869148254,"(128, 64)",0.2,0.001,512,40,
MLP,3,1,0.4982367157936096,0.8566544651985168,0.3882835507392883,0.9166722893714904,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,2,1,0.4711320996284485,0.8558065295219421,0.4064478874206543,0.915313482284546,"(128, 64)",0.3,0.001,512,40,8.0
MLP,4,1,0.4878564774990082,0.854184627532959,0.4225443005561828,0.9166013598442078,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,3,1,0.5132554769515991,0.8353541493415833,0.4344639182090759,0.9118382334709167,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,1,0.5090126991271973,0.8305525779724121,0.4171521961688995,0.9129984378814696,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,4,1,0.532509982585907,0.8304538726806641,0.4091163277626037,0.9102441668510436,"(256, 128)",0.4,0.0005,512,50,16.0
