dataset,test_auc,test_accuracy,test_precision,test_recall,test_f1,model,train_seconds,validation_auc,n_trials,tuning_seconds,best_validation_auc,auc_rank
test,0.9485,0.8716,0.8113,0.8552,0.8326,LightGBM,11.26,0.9479,30,326.03,0.947896,1
test,0.9483,0.8721,0.8135,0.8532,0.8329,XGBoost,36.98,0.9472,30,556.74,0.947243,2
test,0.9422,0.8639,0.8074,0.8348,0.8209,Random Forest,82.59,0.9414,10,776.34,0.94145,3
test,0.9152,0.8196,0.7175,0.8532,0.7795,Logistic Regression,48.24,0.9152,8,276.91,0.915197,4
