feature_name,variance,kept_by_variance_threshold,target_correlation,abs_target_correlation,mutual_information,rf_importance,has_target_encoded_source,is_target_derived_feature,overall_preview_rank
cancellation_risk_score_scaled,1.0000000000000004,True,0.5766451837711905,0.5766451837711905,0.20640781022989985,0.13756616896882068,False,True,3.0
deposit_type_Non_Refund,0.11375643884560298,True,0.501544926517971,0.501544926517971,0.1426086525120429,0.09058432666046667,False,False,6.0
deposit_type_No_Deposit,0.11486947833918466,True,-0.49701289717519354,0.49701289717519354,0.14238624483899098,0.05385889218181879,False,False,10.0
customer_group_key_target_encoded,0.04162940971790759,True,0.431247910386372,0.431247910386372,0.105142848074675,0.040756898395763415,True,False,17.0
agent_target_encoded,0.030779153461878875,True,0.38870974212517506,0.38870974212517506,0.08876432782996768,0.05024527344829224,True,False,20.0
customer_group_hist_cancel_rate_scaled,1.0,True,0.4288283855373381,0.4288283855373381,0.1015541768878927,0.03546877997422435,False,True,23.0
country_target_encoded,0.029470832842696172,True,0.3603519254573189,0.3603519254573189,0.0663143366031107,0.0668429582067577,True,False,25.0
agent_hist_cancel_rate_scaled,1.0,True,0.37964909531273594,0.37964909531273594,0.07789595745464561,0.042741653120032155,False,True,26.0
lead_time_scaled,1.0,True,0.307335709978521,0.307335709978521,0.08846465162816441,0.036277722579255364,False,False,29.0
country_hist_cancel_rate_scaled,1.0,True,0.3519061266343249,0.3519061266343249,0.06244971793087317,0.043022698868475075,False,True,30.0
room_type_matched_scaled,1.0,True,0.2529787041044866,0.2529787041044866,0.043906571354656254,0.030656113065892342,False,False,44.0
lead_time_group_0_7,0.14223271064683218,True,-0.26098371595625963,0.26098371595625963,0.03722103095482421,0.03600713274688366,False,False,44.0
special_request_group_0,0.2407831504687416,True,0.27318653684570027,0.27318653684570027,0.041746378799079276,0.02171123413952502,False,False,45.0
total_of_special_requests_scaled,1.0,True,-0.24127165489130767,0.24127165489130767,0.042642344351638606,0.02540935491037867,False,False,48.0
has_special_requests_scaled,1.0,True,-0.2731865368457004,0.2731865368457004,0.03604138081173858,0.02014214870638116,False,False,49.0
country_hist_booking_count_scaled,1.0,True,0.25106122009764675,0.25106122009764675,0.036249140356094056,0.019544535764884508,False,False,55.0
is_high_risk_agent_scaled,1.0,True,0.25873316650602124,0.25873316650602124,0.033549838822799494,0.006673105191724359,False,True,68.0
has_car_parking_request_scaled,1.0,True,-0.19393889440685907,0.19393889440685907,0.028320581070186313,0.018206783998460964,False,False,69.0
required_car_parking_spaces_scaled,1.0,True,-0.19137114815850098,0.19137114815850098,0.03163560600355897,0.010456497236992456,False,False,71.0
market_segment_Groups,0.14436535482217885,True,0.23098065664716508,0.23098065664716508,0.025880686949823373,0.008087805231545486,False,False,75.0
previous_cancellations_scaled,1.0000000000000004,True,0.11211145284382573,0.11211145284382573,0.04164961554137703,0.0190871455731412,False,False,77.0
lead_time_group_181,0.16275950227210453,True,0.22460200328257657,0.22460200328257657,0.02948485432051151,0.004807304511523652,False,False,80.0
special_request_group_1,0.1995793608720271,True,-0.2019563741567766,0.2019563741567766,0.022119046822760335,0.006933973682065189,False,False,81.0
assigned_room_type_A,0.22883840861374913,True,0.21209892452335083,0.21209892452335083,0.027884355835202435,0.004397995973182789,False,False,84.0
has_booking_changes_scaled,0.9999999999999996,True,-0.188030710496221,0.188030710496221,0.021129027291109326,0.006119562115503377,False,False,89.0
is_high_risk_country_scaled,1.0000000000000002,True,0.17815321822221192,0.17815321822221192,0.02045709397495088,0.006894529846459628,False,True,91.0
booking_changes_scaled,1.0,True,-0.14388196715965898,0.14388196715965898,0.02196649461760969,0.007759603238034675,False,False,92.0
distribution_channel_TA_TO,0.1468496096272323,True,0.18050123621896358,0.18050123621896358,0.016135649844790656,0.005004001034613341,False,False,95.0
group_booking_count_scaled,1.0,True,0.034996277170711194,0.034996277170711194,0.10589849361918091,0.01749566784383158,False,False,100.0
estimated_revenue_scaled,1.0,True,0.04849351189588263,0.04849351189588263,0.08916267602013472,0.0036744567599901394,False,False,109.0
adr_scaled,1.0000000000000002,True,0.05470043144706461,0.05470043144706461,0.08001401254294915,0.0035516362386391028,False,False,110.0
customer_type_Transient,0.1893343935946423,True,0.12967262750470437,0.12967262750470437,0.010922628111094568,0.008447655001898018,False,False,110.0
distribution_channel_Direct,0.10435849326755631,True,-0.15505887780919242,0.15505887780919242,0.014528431684891263,0.0021158755931581655,False,False,113.0
market_segment_Direct,0.09050464650709945,True,-0.1584800677337667,0.1584800677337667,0.013697621092358947,0.0018041653127000134,False,False,115.0
customer_type_Transient_Party,0.17081210254466994,True,-0.1262170065258962,0.1262170065258962,0.011380923832892353,0.0034288674974314276,False,False,124.0
customer_group_hist_avg_adr_scaled,0.9999999999999998,True,-0.017783451941197497,0.017783451941197497,0.07496664343694914,0.019822143579100344,False,False,124.0
price_to_city_hist_avg_scaled,1.0,True,0.054683843913605215,0.054683843913605215,0.03224410111281384,0.003418053726159215,False,False,128.0
