feature_name,coefficient,abs_coefficient,direction
country_target_encoded,5.850065609885342,5.850065609885342,提高取消概率
reserved_room_type_P,4.942149532861492,4.942149532861492,提高取消概率
deposit_type_Non_Refund,3.020062553626036,3.020062553626036,提高取消概率
required_car_parking_spaces_scaled,-2.538052297158629,2.538052297158629,降低取消概率
agent_target_encoded,2.3170658398483823,2.3170658398483823,提高取消概率
customer_group_key_target_encoded,2.148130274096128,2.148130274096128,提高取消概率
distribution_channel_Undefined,2.0962228471140203,2.0962228471140203,提高取消概率
assigned_room_type_I,-1.8728223206741168,1.8728223206741168,降低取消概率
has_car_parking_request_scaled,-1.6889405536550894,1.6889405536550894,降低取消概率
previous_cancellations_scaled,1.5893572638900555,1.5893572638900555,提高取消概率
cancellation_risk_score_scaled,1.5784270614854727,1.5784270614854727,提高取消概率
lead_time_group_0_7,-1.3078668248372696,1.3078668248372696,降低取消概率
distribution_channel_TA_TO,-1.0609318140980923,1.0609318140980923,降低取消概率
assigned_room_type_B,1.0271784083629667,1.0271784083629667,提高取消概率
market_segment_Groups,-0.9594793167295171,0.9594793167295171,降低取消概率
customer_group_hist_cancel_rate_scaled,-0.9361811379906657,0.9361811379906657,降低取消概率
meal_Undefined,-0.9134932138713933,0.9134932138713933,降低取消概率
group_booking_count_scaled,0.9063736889668189,0.9063736889668189,提高取消概率
reserved_room_type_C,-0.8594829878918765,0.8594829878918765,降低取消概率
distribution_channel_GDS,0.8102544901414422,0.8102544901414422,提高取消概率
room_type_matched_scaled,0.7567188635767346,0.7567188635767346,提高取消概率
deposit_type_No_Deposit,-0.7336354657024505,0.7336354657024505,降低取消概率
market_segment_Aviation,0.72082386588699,0.72082386588699,提高取消概率
deposit_type_Refundable,-0.6649612861833674,0.6649612861833674,降低取消概率
assigned_room_type_C,0.6629702753561388,0.6629702753561388,提高取消概率
rfm_segment_高价值,-0.6595911543694881,0.6595911543694881,降低取消概率
special_request_group_1,-0.6443794674137219,0.6443794674137219,降低取消概率
market_segment_Offline_TA_TO,-0.6425841864513245,0.6425841864513245,降低取消概率
market_segment_Corporate,-0.6392143565554347,0.6392143565554347,降低取消概率
reserved_room_type_B,-0.6365017703655023,0.6365017703655023,降低取消概率
price_to_city_hist_avg_scaled,0.6296064257601351,0.6296064257601351,提高取消概率
distribution_channel_Direct,-0.5805893511963136,0.5805893511963136,降低取消概率
previous_bookings_not_canceled_scaled,-0.5003468961404337,0.5003468961404337,降低取消概率
country_hist_cancel_rate_scaled,-0.46825064730822985,0.46825064730822985,降低取消概率
agent_hist_booking_count_scaled,0.4164023362195872,0.4164023362195872,提高取消概率
assigned_room_type_A,-0.3936010005051398,0.3936010005051398,降低取消概率
reserved_room_type_F,-0.3931724359459108,0.3931724359459108,降低取消概率
hotel_type_City_Hotel,-0.3901578007335061,0.3901578007335061,降低取消概率
price_to_hotel_hist_avg_scaled,-0.3870247300085461,0.3870247300085461,降低取消概率
market_segment_Online_TA,-0.3835966312347444,0.3835966312347444,降低取消概率
market_segment_Complementary,0.3671319975959376,0.3671319975959376,提高取消概率
meal_HB,-0.3637729526011236,0.3637729526011236,降低取消概率
holiday_proxy_工作日,-0.36237398009322336,0.36237398009322336,降低取消概率
has_booking_changes_scaled,-0.35314434467867833,0.35314434467867833,降低取消概率
reserved_room_type_A,0.29984715049434607,0.29984715049434607,提高取消概率
holiday_proxy_周末_节假日代理,-0.29909549083867704,0.29909549083867704,降低取消概率
customer_type_Transient_Party,-0.29764842953764215,0.29764842953764215,降低取消概率
total_of_special_requests_scaled,-0.28943769644576484,0.28943769644576484,降低取消概率
special_request_group_2,-0.2833258297829679,0.2833258297829679,降低取消概率
reserved_room_type_L,0.27763957733869415,0.27763957733869415,提高取消概率
customer_type_Transient,-0.2617448601721008,0.2617448601721008,降低取消概率
agent_hist_cancel_rate_scaled,-0.23644507432611506,0.23644507432611506,降低取消概率
meal_BB,-0.2328007853267696,0.2328007853267696,降低取消概率
assigned_room_type_H,-0.23263526842241392,0.23263526842241392,降低取消概率
hotel_hist_booking_count_scaled,-0.214953687390874,0.214953687390874,降低取消概率
customer_type_Contract,0.20161385216624345,0.20161385216624345,提高取消概率
customer_group_hist_booking_count_scaled,-0.20113993212918252,0.20113993212918252,降低取消概率
season_type_旺季,-0.18908431624892114,0.18908431624892114,降低取消概率
total_stays_scaled,0.1768432921403102,0.1768432921403102,提高取消概率
lead_time_group_91_180,-0.16346869592369132,0.16346869592369132,降低取消概率
assigned_room_type_P,0.15616656362368384,0.15616656362368384,提高取消概率
country_hist_booking_count_scaled,0.1490675200565485,0.1490675200565485,提高取消概率
reserved_room_type_G,-0.14542031937625238,0.14542031937625238,降低取消概率
estimated_revenue_scaled,-0.1394547315513952,0.1394547315513952,降低取消概率
distribution_channel_Corporate,-0.13200632135708318,0.13200632135708318,降低取消概率
special_request_group_0,-0.1308735890989563,0.1308735890989563,降低取消概率
season_type_平季,-0.1213956784496424,0.1213956784496424,降低取消概率
arrival_date_month_August,-0.10533455623757063,0.10533455623757063,降低取消概率
booking_changes_scaled,0.10528263715776812,0.10528263715776812,提高取消概率
assigned_room_type_D,-0.1026772859693872,0.1026772859693872,降低取消概率
adr_scaled,0.10260239781120027,0.10260239781120027,提高取消概率
city_Hyderabad,0.09822419275465041,0.09822419275465041,提高取消概率
customer_type_Group,-0.09785205320009838,0.09785205320009838,降低取消概率
is_high_value_customer_group_scaled,0.0971846277242047,0.0971846277242047,提高取消概率
is_high_risk_agent_scaled,-0.09491330723244891,0.09491330723244891,降低取消概率
hotel_hist_avg_adr_scaled,-0.09285841938875734,0.09285841938875734,降低取消概率
lead_time_group_8_30,-0.09157872036589139,0.09157872036589139,降低取消概率
arrival_month_2024_04,-0.09141441469589554,0.09141441469589554,降低取消概率
lead_time_scaled,-0.08742231593174649,0.08742231593174649,降低取消概率
has_children_or_babies_scaled,0.08490313477713719,0.08490313477713719,提高取消概率
company_scaled,-0.08286028777172257,0.08286028777172257,降低取消概率
city_Chandigarh,-0.08276051346397878,0.08276051346397878,降低取消概率
price_sensitivity_score_scaled,-0.08207549348940234,0.08207549348940234,降低取消概率
city_Bangalore,0.0806050072611531,0.0806050072611531,提高取消概率
group_avg_revenue_scaled,-0.05584033218840384,0.05584033218840384,降低取消概率
has_special_requests_scaled,-0.04994198379938218,0.04994198379938218,降低取消概率
estimated_occupancy_proxy_scaled,-0.04984026161341525,0.04984026161341525,降低取消概率
city_Kolkata,0.04786570431566937,0.04786570431566937,提高取消概率
demand_pressure_score_scaled,0.046803569317312506,0.046803569317312506,提高取消概率
hotel_daily_booking_count_scaled,0.04464694859426684,0.04464694859426684,提高取消概率
days_in_waiting_list_scaled,-0.04116861026966705,0.04116861026966705,降低取消概率
special_request_group_4,0.0383126325935971,0.0383126325935971,提高取消概率
city_Mumbai,0.03689209406321852,0.03689209406321852,提高取消概率
price_volatility_index_scaled,-0.032097530078248275,0.032097530078248275,降低取消概率
arrival_quarter_label_2024Q1,-0.03196033017097485,0.03196033017097485,降低取消概率
city_Kochi,-0.03143776124480017,0.03143776124480017,降低取消概率
city_Jaipur,-0.0303150921845718,0.0303150921845718,降低取消概率
city_Bhopal,0.029964637531074693,0.029964637531074693,提高取消概率
babies_scaled,-0.024252564852950017,0.024252564852950017,降低取消概率
