feature_name,logistic_score,xgboost_shap_score,lightgbm_shap_score,logistic_score_norm,xgboost_shap_score_norm,lightgbm_shap_score_norm,combined_score
country_target_encoded,5.850065609885342,0.6442047953605652,0.7491619497025922,1.0,0.9159762638617311,0.6258357651470675,0.8472706763362662
deposit_type_Non_Refund,3.020062553626036,0.7032985687255859,1.197058384041928,0.516244219299487,1.0,1.0,0.838748073099829
cancellation_risk_score_scaled,1.5784270614854727,0.6453246474266052,0.7792865097529305,0.2698135656492935,0.9175685492947433,0.6510012545266425,0.6127944564902265
agent_target_encoded,2.3170658398483823,0.3564889430999756,0.3691004652808442,0.39607518861549923,0.5068813715147357,0.3083395682293773,0.40376537611987073
required_car_parking_spaces_scaled,2.538052297158629,0.2832605242729187,0.4314369116656683,0.43385022774272325,0.40275998966726423,0.3604142600036765,0.399008159137888
previous_cancellations_scaled,1.5893572638900555,0.2615564167499542,0.3887808573857141,0.2716819553620709,0.37189954363750266,0.32478019666256874,0.3227872318873808
deposit_type_No_Deposit,0.7336354657024505,0.30459490418434143,0.3507852436471761,0.12540636543678513,0.4330947306437484,0.29303937746355535,0.2838468245146963
reserved_room_type_P,4.942149532861492,0.0,0.0,0.8448024111918218,0.0,0.0,0.28160080373060725
room_type_matched_scaled,0.7567188635767346,0.25785401463508606,0.30483722844354755,0.1293522011613073,0.3666352045935926,0.25465527204633853,0.25021422593374615
total_of_special_requests_scaled,0.28943769644576484,0.25247517228126526,0.2896516746992741,0.049475974415855765,0.35898718340741625,0.24196954681629698,0.21681090154652302
