feature_name,rf_importance
arrival_date_month_December,1.5906392330084343e-06
city_Lucknow,1.5883178943272097e-06
arrival_month_2024_09,1.4320235061090154e-06
city_Kochi,1.4281218343307216e-06
is_high_value_customer_group_scaled,1.2522726389500333e-06
city_Chennai,1.1320846264838935e-06
city_Bhopal,9.150977226657115e-07
city_Ahmedabad,8.090357786342835e-07
rfm_segment_潜力,7.416854413673312e-07
city_Chandigarh,4.692949263577337e-07
arrival_month_2024_04,3.39861146673473e-07
city_Indore,1.3316084700897888e-08
babies_scaled,0.0
distribution_channel_Undefined,0.0
assigned_room_type_H,0.0
reserved_room_type_H,0.0
reserved_room_type_L,0.0
reserved_room_type_P,0.0
reserved_room_type_C,0.0
market_segment_Aviation,0.0
market_segment_Undefined,0.0
customer_type_Group,0.0
assigned_room_type_I,0.0
assigned_room_type_K,0.0
assigned_room_type_L,0.0
assigned_room_type_P,0.0
special_request_group_5,0.0
special_request_group_4,0.0
rfm_segment_流失,0.0
rfm_segment_沉睡,0.0
