model,baseline_auc,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1,baseline_train_seconds,tuned_auc,tuned_accuracy,tuned_precision,tuned_recall,tuned_f1,tuned_train_seconds,auc_change,accuracy_change,precision_change,recall_change,f1_change
LightGBM,0.9465,0.8678,0.8024,0.8572,0.8289,3.47,0.9485,0.8716,0.8113,0.8552,0.8326,11.26,0.002,0.0038,0.0089,-0.002,0.0037
XGBoost,0.9429,0.8597,0.7829,0.8643,0.8216,9.43,0.9483,0.8721,0.8135,0.8532,0.8329,36.98,0.0054,0.0124,0.0306,-0.0111,0.0113
Random Forest,0.935,0.8603,0.8054,0.8253,0.8153,18.51,0.9422,0.8639,0.8074,0.8348,0.8209,82.59,0.0072,0.0036,0.002,0.0095,0.0056
Logistic Regression,0.9152,0.8073,0.6897,0.88,0.7733,9.23,0.9152,0.8196,0.7175,0.8532,0.7795,48.24,0.0,0.0123,0.0278,-0.0268,0.0062
