model,feature_name,mean_abs_shap
XGBoost,holiday_proxy_周末_节假日代理,0.00093655294040218
XGBoost,arrival_date_month_February,0.0008749433909542859
XGBoost,reserved_room_type_G,0.0008500076946802437
XGBoost,arrival_quarter_scaled,0.000836357765365392
XGBoost,city_Jaipur,0.0007940501673147082
XGBoost,reserved_room_type_F,0.0007912275614216924
XGBoost,arrival_date_month_August,0.0007485729292966425
XGBoost,assigned_room_type_F,0.0006075264536775649
XGBoost,reserved_room_type_C,0.0005641018506139517
XGBoost,is_holiday_proxy_scaled,0.0005512956995517015
XGBoost,arrival_month_2024_06,0.0005443329573608935
XGBoost,deposit_type_Refundable,0.0004642130224965513
XGBoost,assigned_room_type_G,0.0004623376589734107
XGBoost,babies_scaled,0.00044084538239985704
XGBoost,arrival_month_2024_07,0.0004398302116896957
XGBoost,hotel_type_Resort_Hotel,0.00043851605732925236
XGBoost,meal_FB,0.0004255826643202454
XGBoost,arrival_month_2024_02,0.0003999163454864174
XGBoost,special_request_group_4,0.000376440875697881
XGBoost,distribution_channel_GDS,0.00037208132562227547
XGBoost,holiday_proxy_工作日,0.0003543259226717055
XGBoost,arrival_month_2024_01,0.00026141569833271205
XGBoost,arrival_month_2024_04,0.00023983886057976633
XGBoost,season_type_淡季,0.00018908707716036588
XGBoost,arrival_month_2024_05,0.00017310981638729572
XGBoost,assigned_room_type_H,0.0001557547366246581
XGBoost,arrival_quarter_label_2024Q1,0.00015277652710210532
XGBoost,arrival_month_2024_08,0.00012943684123456478
XGBoost,rfm_segment_沉睡,8.021769463084638e-05
XGBoost,rfm_segment_潜力,4.419455581228249e-05
XGBoost,market_segment_Complementary,1.970319135580212e-05
XGBoost,arrival_date_month_January,1.8054473912343383e-05
XGBoost,is_high_value_customer_group_scaled,0.0
XGBoost,reserved_room_type_P,0.0
XGBoost,reserved_room_type_H,0.0
XGBoost,distribution_channel_Undefined,0.0
XGBoost,market_segment_Undefined,0.0
XGBoost,reserved_room_type_L,0.0
XGBoost,assigned_room_type_L,0.0
XGBoost,customer_type_Group,0.0
XGBoost,hotel_type_City_Hotel,0.0
XGBoost,assigned_room_type_K,0.0
XGBoost,assigned_room_type_P,0.0
XGBoost,assigned_room_type_I,0.0
XGBoost,arrival_quarter_label_2024Q3,0.0
XGBoost,special_request_group_5,0.0
XGBoost,rfm_segment_流失,0.0
XGBoost,rfm_segment_高价值,0.0
LightGBM,deposit_type_Non_Refund,1.197058384041928
LightGBM,cancellation_risk_score_scaled,0.7792865097529305
LightGBM,country_target_encoded,0.7491619497025922
LightGBM,required_car_parking_spaces_scaled,0.4314369116656683
LightGBM,previous_cancellations_scaled,0.3887808573857141
LightGBM,agent_target_encoded,0.3691004652808442
LightGBM,deposit_type_No_Deposit,0.3507852436471761
LightGBM,customer_group_hist_avg_adr_scaled,0.3379985569709932
LightGBM,room_type_matched_scaled,0.30483722844354755
LightGBM,total_of_special_requests_scaled,0.2896516746992741
LightGBM,lead_time_scaled,0.20500165280874363
LightGBM,group_avg_revenue_scaled,0.17587375463049212
LightGBM,country_hist_booking_count_scaled,0.1264816256494036
LightGBM,booking_changes_scaled,0.12597854717985876
LightGBM,agent_hist_cancel_rate_scaled,0.11507879793376495
LightGBM,customer_group_hist_cancel_rate_scaled,0.0864959753803328
LightGBM,agent_hist_booking_count_scaled,0.08252720072717121
LightGBM,country_hist_cancel_rate_scaled,0.08084801098481446
LightGBM,previous_bookings_not_canceled_scaled,0.07999022917256925
LightGBM,customer_type_Transient_Party,0.0712549116297033
LightGBM,estimated_revenue_scaled,0.062418301302855986
LightGBM,hotel_hist_booking_count_scaled,0.05356534248265484
LightGBM,price_to_customer_group_hist_avg_scaled,0.051033970833119495
LightGBM,hotel_target_encoded,0.04950093691447219
LightGBM,adr_scaled,0.047334017333815426
LightGBM,group_booking_count_scaled,0.043969340650297076
LightGBM,distribution_channel_TA_TO,0.04219536177440666
LightGBM,customer_group_key_target_encoded,0.042083298435247184
LightGBM,customer_type_Transient,0.04133415455539787
LightGBM,price_to_city_hist_avg_scaled,0.03806697508999806
LightGBM,price_to_hotel_hist_avg_scaled,0.03656830097714415
LightGBM,customer_group_hist_booking_count_scaled,0.03557252211467799
LightGBM,price_volatility_index_scaled,0.034777433526632276
LightGBM,hotel_hist_avg_adr_scaled,0.03425471309465224
LightGBM,has_car_parking_request_scaled,0.03353150465177897
LightGBM,arrival_date_week_number_scaled,0.031190890412071376
LightGBM,hotel_hist_cancel_rate_scaled,0.030967475943687147
LightGBM,total_stays_scaled,0.03051187480608048
LightGBM,city_hist_avg_adr_scaled,0.027134854677816934
LightGBM,company_scaled,0.02596745677705978
LightGBM,has_special_requests_scaled,0.025150150719222823
LightGBM,adults_scaled,0.02391694801681063
LightGBM,stays_in_week_nights_scaled,0.023556515861049426
LightGBM,estimated_occupancy_proxy_scaled,0.023173293657527034
LightGBM,arrival_date_day_of_month_scaled,0.023008748694594183
LightGBM,special_request_group_1,0.022301595990589108
LightGBM,stays_in_weekend_nights_scaled,0.021589137965882865
LightGBM,arrival_day_of_week_scaled,0.019792164846678142
LightGBM,children_scaled,0.01957019543516418
LightGBM,market_segment_Groups,0.019037919128748967
LightGBM,days_in_waiting_list_scaled,0.01852594211456528
LightGBM,market_segment_Online_TA,0.018329261383641368
LightGBM,lead_time_group_0_7,0.017591491750688797
LightGBM,hotel_daily_booking_count_scaled,0.01581409147753949
LightGBM,has_booking_changes_scaled,0.013853100730277918
LightGBM,total_guests_scaled,0.01345434661104716
LightGBM,customer_type_Contract,0.012637286735385233
LightGBM,meal_BB,0.012491029957567167
LightGBM,assigned_room_type_C,0.010750967734930878
LightGBM,market_segment_Offline_TA_TO,0.01023984176737655
LightGBM,meal_HB,0.010159647216085883
LightGBM,reserved_room_type_A,0.009352007977832491
LightGBM,assigned_room_type_B,0.009135758143429899
LightGBM,is_near_holiday_proxy_scaled,0.008326562991178113
LightGBM,assigned_room_type_D,0.008317670312110628
LightGBM,group_recency_days_scaled,0.007916802045867612
LightGBM,is_low_season_scaled,0.006949098317099579
LightGBM,arrival_month_num_scaled,0.006558106945263089
LightGBM,meal_Undefined,0.006511993266632671
LightGBM,assigned_room_type_A,0.006481295835315967
LightGBM,meal_SC,0.00610337037341486
LightGBM,is_high_risk_country_scaled,0.005804956188323465
LightGBM,distribution_channel_Corporate,0.005358573397896103
LightGBM,market_segment_Direct,0.004924515402398154
LightGBM,reserved_room_type_E,0.0046454108524638495
LightGBM,has_children_or_babies_scaled,0.00446948844564263
LightGBM,is_repeated_guest_scaled,0.004199440811977832
LightGBM,rfm_value_score_scaled,0.003966707056878522
LightGBM,lead_time_group_8_30,0.0038776178926392584
LightGBM,lead_time_group_91_180,0.0037851719943110002
LightGBM,distribution_channel_Direct,0.003591738115108953
LightGBM,is_high_risk_agent_scaled,0.003421820323207057
LightGBM,city_Hyderabad,0.003311596452133922
LightGBM,city_Bhopal,0.0032822180548417747
LightGBM,price_sensitivity_score_scaled,0.0031947875604339863
LightGBM,lead_time_group_31_90,0.003131696858137576
LightGBM,arrival_date_month_March,0.0027874172116955486
LightGBM,season_type_平季,0.002752412706517939
